cell,true_label,cluster
A6.MAA000944.3_9_M.1.1,oligodendrocyte,18
A6.MAA001895.3_38_F.1.1,endothelial cell,5
A7.B003275.3_38_F.1.1,endothelial cell,13
A7.B003290.3_38_F.1.1,endothelial cell,16
A7.B003728.3_56_F.1.1,oligodendrocyte,18
A7.MAA000424.3_11_M.1.1,endothelial cell,5
A7.MAA000560.3_10_M.1.1,oligodendrocyte,17
A7.MAA000564.3_10_M.1.1,oligodendrocyte,17
A7.MAA000615.3_10_M.1.1,oligodendrocyte,1
A7.MAA000926.3_9_M.1.1,oligodendrocyte,17
A7.MAA000928.3_9_M.1.1,oligodendrocyte,17
A7.MAA000930.3_8_M.1.1,oligodendrocyte,17
A7.MAA000932.3_11_M.1.1,oligodendrocyte precursor cell,0
A7.MAA000935.3_8_M.1.1,oligodendrocyte,17
A7.MAA000940.3_8_M.1.1,neuron,19
A7.MAA000942.3_8_M.1.1,oligodendrocyte,17
A7.MAA000944.3_9_M.1.1,astrocyte,2
A7.MAA000947.3_9_M.1.1,oligodendrocyte,17
A7.MAA001845.3_39_F.1.1,endothelial cell,5
A7.MAA001894.3_39_F.1.1,oligodendrocyte precursor cell,0
A8.B003277.3_39_F.1.1,oligodendrocyte,17
A8.B003290.3_38_F.1.1,endothelial cell,5
A8.MAA000560.3_10_M.1.1,astrocyte,14
A8.MAA000615.3_10_M.1.1,oligodendrocyte precursor cell,0
A8.MAA000926.3_9_M.1.1,oligodendrocyte,17
A8.MAA000928.3_9_M.1.1,oligodendrocyte,4
A8.MAA000930.3_8_M.1.1,oligodendrocyte,17
A8.MAA000932.3_11_M.1.1,endothelial cell,13
A8.MAA000942.3_8_M.1.1,oligodendrocyte,17
A8.MAA000944.3_9_M.1.1,oligodendrocyte,17
A8.MAA001845.3_39_F.1.1,endothelial cell,13
A8.MAA001895.3_38_F.1.1,endothelial cell,13
A9.B003275.3_38_F.1.1,endothelial cell,12
A9.B003290.3_38_F.1.1,endothelial cell,5
A9.MAA000550.3_10_M.1.1,oligodendrocyte,17
A9.MAA000560.3_10_M.1.1,astrocyte,2
A9.MAA000923.3_9_M.1.1,oligodendrocyte,17
A9.MAA000926.3_9_M.1.1,oligodendrocyte,7
A9.MAA000930.3_8_M.1.1,astrocyte,2
A9.MAA000941.3_8_M.1.1,oligodendrocyte,17
A9.MAA000942.3_8_M.1.1,oligodendrocyte,17
A9.MAA000944.3_9_M.1.1,astrocyte,14
A9.MAA000947.3_9_M.1.1,oligodendrocyte,17
A9.MAA001845.3_39_F.1.1,endothelial cell,12
A9.MAA001894.3_39_F.1.1,astrocyte,2
A9.MAA001895.3_38_F.1.1,endothelial cell,5
B1.B003290.3_38_F.1.1,endothelial cell,13
B1.B003728.3_56_F.1.1,astrocyte,14
B1.MAA000560.3_10_M.1.1,oligodendrocyte,17
B1.MAA000641.3_9_M.1.1,oligodendrocyte,7
B1.MAA000923.3_9_M.1.1,oligodendrocyte,17
B1.MAA000930.3_8_M.1.1,oligodendrocyte,1
B1.MAA000932.3_11_M.1.1,endothelial cell,5
B1.MAA000940.3_8_M.1.1,neuron,19
B1.MAA001845.3_39_F.1.1,endothelial cell,12
B1.MAA001894.3_39_F.1.1,oligodendrocyte,1
B1.MAA001895.3_38_F.1.1,endothelial cell,13
B10.B003274.3_38_F.1.1,oligodendrocyte,11
B10.B003275.3_38_F.1.1,endothelial cell,13
B10.B003290.3_38_F.1.1,endothelial cell,5
