cell,label,UMAP1,UMAP2
A22.MAA000923.3_9_M.1.1,oligodendrocyte,14.198988,3.4394777
A22.MAA000926.3_9_M.1.1,oligodendrocyte,13.254615,5.312301
A22.MAA000935.3_8_M.1.1,astrocyte,1.2629212,12.8803625
A22.MAA000940.3_8_M.1.1,oligodendrocyte,12.855603,5.034159
A22.MAA001895.3_38_F.1.1,brain pericyte,-12.616645,4.225859
A3.B003290.3_38_F.1.1,endothelial cell,4.1528416,-0.31416047
A3.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,11.934419,18.32028
A3.MAA000564.3_10_M.1.1,brain pericyte,-12.770734,3.8647714
A3.MAA000615.3_10_M.1.1,oligodendrocyte,13.521095,1.4644132
A3.MAA000928.3_9_M.1.1,Bergmann glial cell,2.2990782,11.645056
A3.MAA000930.3_8_M.1.1,oligodendrocyte,13.620071,3.320514
A3.MAA000932.3_11_M.1.1,endothelial cell,3.0006835,-2.2117913
A3.MAA000944.3_9_M.1.1,astrocyte,0.52484906,13.672732
A3.MAA001854.3_38_F.1.1,oligodendrocyte,12.000055,6.027921
A3.MAA001894.3_39_F.1.1,oligodendrocyte,12.92792,8.091801
A3.MAA001895.3_38_F.1.1,brain pericyte,-12.522167,4.37373
A4.B003290.3_38_F.1.1,endothelial cell,3.2522502,-0.17376241
A4.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,12.575896,17.967682
A4.MAA000563.3_10_M.1.1,oligodendrocyte precursor cell,12.598031,17.675903
A4.MAA000578.3_10_M.1.1,neuron,-1.7633882,10.745394
A4.MAA000615.3_10_M.1.1,oligodendrocyte,13.045789,7.172728
A4.MAA000641.3_9_M.1.1,oligodendrocyte,-1.0515877,10.699007
A4.MAA000902.3_11_M.1.1,oligodendrocyte,14.320529,5.7843223
A4.MAA000930.3_8_M.1.1,oligodendrocyte,0.5083216,11.306394
A4.MAA000932.3_11_M.1.1,endothelial cell,3.8206763,-0.83017486
A4.MAA000942.3_8_M.1.1,endothelial cell,2.9267683,-0.55397785
A4.MAA000944.3_9_M.1.1,oligodendrocyte,13.031624,8.249398
A4.MAA001894.3_39_F.1.1,astrocyte,1.4621167,13.060252
A4.MAA001895.3_38_F.1.1,endothelial cell,2.645505,-0.4931515
A5.B003290.3_38_F.1.1,endothelial cell,2.9872944,-0.11738963
A5.MAA000424.3_11_M.1.1,Bergmann glial cell,1.6820316,11.960332
A5.MAA000560.3_10_M.1.1,astrocyte,1.8043513,14.176289
A5.MAA000581.3_10_M.1.1,endothelial cell,3.0404012,-0.9775088
A5.MAA000923.3_9_M.1.1,oligodendrocyte,14.257565,6.88736
A5.MAA000926.3_9_M.1.1,oligodendrocyte,13.904126,1.085435
A5.MAA000928.3_9_M.1.1,oligodendrocyte,-1.0990974,10.647304
A5.MAA000932.3_11_M.1.1,endothelial cell,2.7449558,-1.6433668
A5.MAA000941.3_8_M.1.1,astrocyte,1.5563104,14.1327505
A5.MAA001845.3_39_F.1.1,endothelial cell,2.590253,-0.4111945
A5.MAA001895.3_38_F.1.1,endothelial cell,2.5584428,-0.20856951
A6.B003290.3_38_F.1.1,endothelial cell,3.3283825,-0.145682
A6.B003728.3_56_F.1.1,oligodendrocyte,0.4475223,10.900605
A6.MAA000550.3_10_M.1.1,oligodendrocyte,14.711789,6.533355
A6.MAA000560.3_10_M.1.1,astrocyte,1.3236898,15.849567
A6.MAA000930.3_8_M.1.1,astrocyte,1.0510963,8.244863
A6.MAA000932.3_11_M.1.1,endothelial cell,2.2207673,-1.4937238
A6.MAA000935.3_8_M.1.1,oligodendrocyte,12.8241625,8.6270685
A6.MAA000942.3_8_M.1.1,neuron,-5.874037,14.154836
A6.MAA000944.3_9_M.1.1,oligodendrocyte,0.47021362,11.656999
A6.MAA001895.3_38_F.1.1,endothelial cell,2.7835324,-0.33218187
A7.B003275.3_38_F.1.1,endothelial cell,4.0534744,-1.0659298
A7.B003290.3_38_F.1.1,endothelial cell,-0.32993558,9.246022
A7.B003728.3_56_F.1.1,oligodendrocyte,0.4900692,11.120701
A7.MAA000424.3_11_M.1.1,endothelial cell,4.560548,-0.33380142
A7.MAA000560.3_10_M.1.1,oligodendrocyte,13.464215,3.8326821
A7.MAA000564.3_10_M.1.1,oligodendrocyte,13.905783,1.7922271
A7.MAA000615.3_10_M.1.1,oligodendrocyte,12.5693865,6.0339417
A7.MAA000926.3_9_M.1.1,oligodendrocyte,14.044406,1.384865
A7.MAA000928.3_9_M.1.1,oligodendrocyte,13.544646,5.2337
A7.MAA000930.3_8_M.1.1,oligodendrocyte,13.525638,2.56492
A7.MAA000932.3_11_M.1.1,oligodendrocyte precursor cell,12.275355,17.37556
A7.MAA000935.3_8_M.1.1,oligodendrocyte,13.809884,4.490342
A7.MAA000940.3_8_M.1.1,neuron,-5.4545903,13.532835
A7.MAA000942.3_8_M.1.1,oligodendrocyte,14.1505995,2.283741
A7.MAA000944.3_9_M.1.1,astrocyte,1.2187717,15.106482
A7.MAA000947.3_9_M.1.1,oligodendrocyte,14.210781,3.6748555
A7.MAA001845.3_39_F.1.1,endothelial cell,2.3116736,-0.45648217
A7.MAA001894.3_39_F.1.1,oligodendrocyte precursor cell,12.306319,17.202127
A8.B003277.3_39_F.1.1,oligodendrocyte,13.676393,6.867816
A8.B003290.3_38_F.1.1,endothelial cell,2.9532433,0.008332831
A8.MAA000560.3_10_M.1.1,astrocyte,0.48716003,13.72447
A8.MAA000615.3_10_M.1.1,oligodendrocyte precursor cell,12.176143,17.414062
A8.MAA000926.3_9_M.1.1,oligodendrocyte,13.863088,5.630396
A8.MAA000928.3_9_M.1.1,oligodendrocyte,11.887305,15.318836
A8.MAA000930.3_8_M.1.1,oligodendrocyte,13.671488,1.9164157
A8.MAA000932.3_11_M.1.1,endothelial cell,3.5931082,-1.0050546
A8.MAA000942.3_8_M.1.1,oligodendrocyte,13.457441,7.0246468
A8.MAA000944.3_9_M.1.1,oligodendrocyte,14.863648,5.082827
A8.MAA001845.3_39_F.1.1,endothelial cell,2.6598623,-1.1832534
A8.MAA001895.3_38_F.1.1,endothelial cell,3.3906155,-0.12870637
A9.B003275.3_38_F.1.1,endothelial cell,2.0225403,-1.7497863
A9.B003290.3_38_F.1.1,endothelial cell,2.4581764,-0.3554614
A9.MAA000550.3_10_M.1.1,oligodendrocyte,13.015906,7.738079
A9.MAA000560.3_10_M.1.1,astrocyte,1.3602898,15.839715
A9.MAA000923.3_9_M.1.1,oligodendrocyte,12.669884,5.5104537
A9.MAA000926.3_9_M.1.1,oligodendrocyte,0.3569385,11.474479
A9.MAA000930.3_8_M.1.1,astrocyte,1.2341509,15.255763
A9.MAA000941.3_8_M.1.1,oligodendrocyte,14.462435,4.4267106
A9.MAA000942.3_8_M.1.1,oligodendrocyte,13.388358,5.647666
A9.MAA000944.3_9_M.1.1,astrocyte,0.646568,13.09705
A9.MAA000947.3_9_M.1.1,oligodendrocyte,12.59902,5.368315
A9.MAA001845.3_39_F.1.1,endothelial cell,2.371128,-0.8907479
A9.MAA001894.3_39_F.1.1,astrocyte,1.1012616,13.54765
A9.MAA001895.3_38_F.1.1,endothelial cell,2.812636,0.130761
B1.B003290.3_38_F.1.1,endothelial cell,3.1546621,-1.029882
B1.B003728.3_56_F.1.1,astrocyte,0.8432501,12.743224
B1.MAA000560.3_10_M.1.1,oligodendrocyte,14.351874,2.145055
B1.MAA000641.3_9_M.1.1,oligodendrocyte,-0.63468933,10.379791
B1.MAA000923.3_9_M.1.1,oligodendrocyte,12.80972,5.727476
B1.MAA000930.3_8_M.1.1,oligodendrocyte,12.945117,6.345967
B1.MAA000932.3_11_M.1.1,endothelial cell,3.3483064,-0.4115202
B1.MAA000940.3_8_M.1.1,neuron,-5.660609,13.760176
B1.MAA001845.3_39_F.1.1,endothelial cell,1.6513026,-1.37052
B1.MAA001894.3_39_F.1.1,oligodendrocyte,13.163973,4.6969433
B1.MAA001895.3_38_F.1.1,endothelial cell,2.7845976,-0.3211635
B10.B003274.3_38_F.1.1,oligodendrocyte,0.0031500692,10.648066
B10.B003275.3_38_F.1.1,endothelial cell,2.5711415,-0.74354875
B10.B003290.3_38_F.1.1,endothelial cell,4.386336,-0.6279152
B10.MAA000553.3_10_M.1.1,endothelial cell,4.2204056,-1.8782952
B10.MAA000560.3_10_M.1.1,oligodendrocyte,14.835524,5.0564785
B10.MAA000563.3_10_M.1.1,oligodendrocyte,13.78788,6.628202
B10.MAA000581.3_10_M.1.1,oligodendrocyte,11.69911,17.63867
B10.MAA000615.3_10_M.1.1,astrocyte,1.417624,14.786982
B10.MAA000902.3_11_M.1.1,oligodendrocyte precursor cell,11.989493,15.870072
B10.MAA000923.3_9_M.1.1,oligodendrocyte,12.077062,5.357468
B10.MAA001854.3_38_F.1.1,astrocyte,1.6743776,11.87381
B10.MAA001894.3_39_F.1.1,oligodendrocyte,11.608205,5.1147685
B11.B003275.3_38_F.1.1,endothelial cell,3.1087523,-0.8990552
B11.B003290.3_38_F.1.1,endothelial cell,2.3369014,-0.76426107
B11.MAA000560.3_10_M.1.1,astrocyte,1.12909,15.695894
B11.MAA000564.3_10_M.1.1,neuron,1.1095387,7.3758316
B11.MAA000581.3_10_M.1.1,endothelial cell,2.6265583,-0.9355997
B11.MAA000615.3_10_M.1.1,oligodendrocyte,12.816675,8.945621
B11.MAA000923.3_9_M.1.1,oligodendrocyte precursor cell,11.9732275,18.11695
B11.MAA000926.3_9_M.1.1,astrocyte,1.3789668,15.620926
B11.MAA000932.3_11_M.1.1,endothelial cell,4.2597823,-1.2887248
B11.MAA000935.3_8_M.1.1,oligodendrocyte,13.683422,3.9390588
B11.MAA000940.3_8_M.1.1,oligodendrocyte,12.833514,8.076082
B11.MAA000941.3_8_M.1.1,neuron,-4.786191,11.166097
B11.MAA001845.3_39_F.1.1,endothelial cell,4.0911665,-1.3800771
B11.MAA001895.3_38_F.1.1,endothelial cell,3.6445096,-0.6659737
B12.B003275.3_38_F.1.1,endothelial cell,3.4432333,-1.2710335
B12.B003290.3_38_F.1.1,endothelial cell,4.443308,-1.3072277
B12.B003728.3_56_F.1.1,oligodendrocyte,11.866367,15.31329
B12.MAA000563.3_10_M.1.1,oligodendrocyte,13.397334,4.9495354
B12.MAA000564.3_10_M.1.1,astrocyte,0.9961982,15.084957
B12.MAA000581.3_10_M.1.1,neuron,-3.9451327,8.926419
B12.MAA000615.3_10_M.1.1,neuron,1.3474307,6.947886
B12.MAA000923.3_9_M.1.1,oligodendrocyte precursor cell,12.517882,18.295752
B12.MAA000926.3_9_M.1.1,endothelial cell,3.2785356,-1.4934303
B12.MAA000941.3_8_M.1.1,endothelial cell,2.019843,-1.449683
B12.MAA000944.3_9_M.1.1,neuron,-2.9014063,12.0208435
B12.MAA001845.3_39_F.1.1,brain pericyte,-12.706332,4.130595
B13.B003275.3_38_F.1.1,endothelial cell,4.5373063,-1.1619796
B13.B003290.3_38_F.1.1,oligodendrocyte,1.616715,7.203064
B13.MAA000561.3_10_M.1.1,brain pericyte,-12.173728,3.482885
B13.MAA000581.3_10_M.1.1,endothelial cell,1.8390061,-2.4288883
B13.MAA000615.3_10_M.1.1,neuron,1.7057223,7.302049
B13.MAA000641.3_9_M.1.1,neuron,-4.3135014,8.526864
B13.MAA000923.3_9_M.1.1,oligodendrocyte,15.316902,6.2391815
B13.MAA000926.3_9_M.1.1,oligodendrocyte,13.796686,3.8157382
B13.MAA000928.3_9_M.1.1,Bergmann glial cell,2.5823889,11.43734
B13.MAA000941.3_8_M.1.1,oligodendrocyte precursor cell,12.40591,17.777452
B14.B003275.3_38_F.1.1,endothelial cell,4.0180354,-0.8979827
B14.B003290.3_38_F.1.1,endothelial cell,3.1518776,-0.77134985
B14.MAA000581.3_10_M.1.1,endothelial cell,3.6794937,-1.8292334
B14.MAA000926.3_9_M.1.1,oligodendrocyte,14.704374,6.427286
B14.MAA000944.3_9_M.1.1,oligodendrocyte precursor cell,11.865189,17.909763
B14.MAA001845.3_39_F.1.1,endothelial cell,2.0589557,-1.1744906
B15.B003274.3_38_F.1.1,astrocyte,0.9898328,14.698095
B15.B003275.3_38_F.1.1,endothelial cell,4.407055,-1.520001
B15.B003290.3_38_F.1.1,endothelial cell,4.0869126,-1.0441821
B15.MAA000560.3_10_M.1.1,oligodendrocyte,14.170454,2.90956
B15.MAA000581.3_10_M.1.1,endothelial cell,3.0475612,-1.0349792
B15.MAA000902.3_11_M.1.1,oligodendrocyte,14.118589,1.176775
B15.MAA000926.3_9_M.1.1,astrocyte,16.8021,4.879149
B15.MAA000935.3_8_M.1.1,oligodendrocyte,14.932502,5.5037036
B15.MAA000941.3_8_M.1.1,oligodendrocyte precursor cell,11.908024,18.107775
B15.MAA000942.3_8_M.1.1,oligodendrocyte,13.936436,5.5487747
B15.MAA000944.3_9_M.1.1,oligodendrocyte,13.778384,3.6514409
B16.B000621.3_56_F.1.1,oligodendrocyte,13.319318,3.6487365
B16.B003290.3_38_F.1.1,neuron,-5.765673,13.945077
B16.B003728.3_56_F.1.1,oligodendrocyte,-0.45189285,10.063795
B16.MAA000560.3_10_M.1.1,oligodendrocyte,14.373006,5.110396
B16.MAA000561.3_10_M.1.1,brain pericyte,-12.168368,3.4761853
B16.MAA000581.3_10_M.1.1,neuron,-4.1378417,8.673645
B16.MAA000923.3_9_M.1.1,oligodendrocyte,14.279658,5.773916
B16.MAA000942.3_8_M.1.1,oligodendrocyte,13.720307,4.788998
B17.B003275.3_38_F.1.1,endothelial cell,1.4688361,-1.9716488
B17.MAA000560.3_10_M.1.1,oligodendrocyte,13.976069,7.0727053
B17.MAA000561.3_10_M.1.1,endothelial cell,2.3201313,-1.6282674
B17.MAA000581.3_10_M.1.1,brain pericyte,-11.922024,4.059637
B17.MAA000641.3_9_M.1.1,Bergmann glial cell,2.4834886,11.52565
B17.MAA000902.3_11_M.1.1,oligodendrocyte,14.628727,2.2809067
B17.MAA000926.3_9_M.1.1,oligodendrocyte,13.063042,4.3956823
B17.MAA000935.3_8_M.1.1,oligodendrocyte,14.678895,5.670454
B17.MAA000941.3_8_M.1.1,oligodendrocyte,13.948763,6.3516016
B17.MAA000942.3_8_M.1.1,oligodendrocyte,14.369369,3.1048846
B17.MAA000944.3_9_M.1.1,oligodendrocyte,13.817674,6.7368646
